city,state,confirmed,deaths,estimated_population_2019
São Luís de Montes Belos,GO,5984,171,33817.0
São Miguel do Araguaia,GO,3575,78,21993.0
São Miguel do Passa Quatro,GO,522,10,4057.0
São Patrício,GO,344,9,2036.0
São Simão,GO,1795,66,20645.0
Sítio d'Abadia,GO,61,0,2989.0
Taquaral de Goiás,GO,307,10,3529.0
Teresina de Goiás,GO,224,1,3458.0
Terezópolis de Goiás,GO,1278,28,8043.0
Trindade,GO,16400,516,127599.0
Trombas,GO,483,8,3500.0
Três Ranchos,GO,279,13,2833.0
Turvelândia,GO,968,16,5281.0
Turvânia,GO,784,25,4598.0
Uirapuru,GO,303,9,2854.0
Uruana,GO,1992,42,13843.0
Uruaçu,GO,6685,153,40532.0
Urutaí,GO,272,6,3072.0
Valparaíso de Goiás,GO,18323,408,168468.0
Varjão,GO,621,14,3827.0
Vianópolis,GO,1248,35,13863.0
Vicentinópolis,GO,1456,24,8743.0
Vila Boa,GO,232,4,6171.0
Vila Propício,GO,415,8,5821.0
Água Fria de Goiás,GO,431,10,5735.0
Água Limpa,GO,208,4,1850.0
Águas Lindas de Goiás,GO,9857,355,212440.0
Acorizal,MT,1176,24,5399.0
Alta Floresta,MT,13648,169,51782.0
Alto Araguaia,MT,2790,34,19044.0
Alto Boa Vista,MT,1273,19,6822.0
Alto Garças,MT,1442,43,12030.0
Alto Paraguai,MT,955,31,11356.0
Alto Taquari,MT,1673,30,10847.0
Apiacás,MT,2971,19,10133.0
Araguaiana,MT,537,8,3100.0
Araguainha,MT,53,1,935.0
Araputanga,MT,3455,56,16822.0
Arenápolis,MT,2717,43,9607.0
Aripuanã,MT,5623,55,22354.0
Barra do Bugres,MT,5880,98,34966.0
Barra do Garças,MT,13915,401,61012.0
Barão de Melgaço,MT,917,18,8564.0
Bom Jesus do Araguaia,MT,1130,17,6580.0
Brasnorte,MT,3109,44,19695.0
Campinápolis,MT,2272,51,15980.0
Campo Novo do Parecis,MT,10435,101,35360.0
Campo Verde,MT,8481,151,44041.0
Campos de Júlio,MT,1513,14,6891.0
Canabrava do Norte,MT,856,14,4743.0
Canarana,MT,5905,80,21579.0
Carlinda,MT,3182,36,10305.0
Castanheira,MT,1324,30,8729.0
Chapada dos Guimarães,MT,2496,94,19752.0
Cláudia,MT,2819,48,12149.0
Cocalinho,MT,1383,17,5700.0
Colniza,MT,5189,90,38582.0
Colíder,MT,9669,159,33438.0
Comodoro,MT,2988,42,20763.0
Confresa,MT,5414,119,30933.0
Conquista D'Oeste,MT,851,19,4038.0
Cotriguaçu,MT,1616,39,19750.0
Cuiabá,MT,128771,3665,612547.0
Curvelândia,MT,1214,19,5219.0
Cáceres,MT,16762,480,94376.0
Denise,MT,1061,21,9462.0
Diamantino,MT,4777,74,22041.0
Dom Aquino,MT,1212,28,8178.0
Feliz Natal,MT,3295,34,14192.0
Figueirópolis D'Oeste,MT,594,9,3494.0
Gaúcha do Norte,MT,1909,30,7648.0
General Carneiro,MT,1005,24,5540.0
Glória D'Oeste,MT,780,15,3026.0
Guarantã do Norte,MT,7408,143,35816.0
Guiratinga,MT,1800,42,15141.0
Importados/Indefinidos,MT,5728,277,
Indiavaí,MT,527,13,2752.0
Ipiranga do Norte,MT,2184,21,7667.0
Itanhangá,MT,2184,15,6737.0
Itaúba,MT,1297,31,3802.0
Itiquira,MT,1622,18,13345.0
Jaciara,MT,4187,119,27776.0
Jangada,MT,745,23,8409.0
Jauru,MT,1315,37,8793.0
Juara,MT,6066,103,34974.0
Juruena,MT,2103,40,15865.0
Juscimeira,MT,2128,49,11221.0
Juína,MT,6069,155,40997.0
Lambari D'Oeste,MT,956,16,6121.0
Lucas do Rio Verde,MT,22624,220,65534.0
Luciara,MT,447,7,2077.0
Marcelândia,MT,2031,47,10499.0
Matupá,MT,4020,60,16566.0
Mirassol d'Oeste,MT,6535,149,27739.0
Nobres,MT,3212,80,15336.0
Nortelândia,MT,1310,27,5989.0
Nossa Senhora do Livramento,MT,1578,43,13216.0
Nova Bandeirantes,MT,1823,29,15288.0
Nova Brasilândia,MT,627,10,3829.0
Nova Canaã do Norte,MT,3430,37,12787.0
Nova Guarita,MT,1250,18,4519.0
Nova Lacerda,MT,1532,14,6640.0
Nova Marilândia,MT,709,8,3278.0
Nova Maringá,MT,1306,11,8641.0
Nova Monte Verde,MT,2750,23,9178.0
Nova Mutum,MT,12454,153,45378.0
Nova Nazaré,MT,394,9,3849.0
Nova Olímpia,MT,1768,76,20301.0
Nova Santa Helena,MT,564,16,3718.0
Nova Ubiratã,MT,1766,28,11982.0
Nova Xavantina,MT,5129,76,21374.0
Novo Horizonte do Norte,MT,1037,9,4004.0
Novo Mundo,MT,1730,22,9178.0
Novo Santo Antônio,MT,641,6,2640.0
Novo São Joaquim,MT,990,24,5074.0
Paranatinga,MT,4979,88,22563.0
Paranaíta,MT,4526,38,11225.0
Pedra Preta,MT,2856,70,17626.0
Peixoto de Azevedo,MT,5148,145,34976.0
Planalto da Serra,MT,784,9,2662.0
Poconé,MT,4829,96,32843.0
Pontal do Araguaia,MT,1464,26,6711.0
Ponte Branca,MT,359,6,1576.0
Pontes e Lacerda,MT,10085,252,45436.0
Porto Alegre do Norte,MT,1446,23,12517.0
Porto Esperidião,MT,2116,61,12017.0
Porto Estrela,MT,745,14,2963.0
Porto dos Gaúchos,MT,1683,10,5410.0
Poxoréu,MT,3132,61,16219.0
Primavera do Leste,MT,21758,346,62019.0
Querência,MT,4355,71,17479.0
Reserva do Cabaçal,MT,451,7,2732.0
Ribeirão Cascalheira,MT,2129,40,10206.0
Ribeirãozinho,MT,393,12,2405.0
Rio Branco,MT,1261,21,5156.0
Rondolândia,MT,548,5,4001.0
Rondonópolis,MT,44021,974,232491.0
Rosário Oeste,MT,2241,62,17151.0
Salto do Céu,MT,281,9,3365.0
Santa Carmem,MT,1309,15,4525.0
Santa Cruz do Xingu,MT,645,7,2564.0
Santa Rita do Trivelato,MT,372,4,3429.0
Santa Terezinha,MT,1022,16,8371.0
Santo Afonso,MT,502,14,3146.0
Santo Antônio do Leste,MT,511,8,5174.0
Santo Antônio do Leverger,MT,1927,65,16628.0
Sapezal,MT,7333,66,25881.0
Serra Nova Dourada,MT,524,7,1650.0
Sinop,MT,33608,489,142996.0
Sorriso,MT,22031,241,90313.0
São Félix do Araguaia,MT,2434,43,11708.0
São José do Povo,MT,217,8,4063.0
São José do Rio Claro,MT,2471,41,20664.0
São José do Xingu,MT,1329,20,5595.0
São José dos Quatro Marcos,MT,4401,113,18906.0
São Pedro da Cipa,MT,1060,27,4727.0
Tabaporã,MT,1648,26,9489.0
Tangará da Serra,MT,23090,387,103750.0
Tapurah,MT,3812,35,13705.0
Terra Nova do Norte,MT,2290,44,9667.0
Tesouro,MT,646,16,3805.0
Torixoréu,MT,1001,23,3609.0
União do Sul,MT,1133,16,3525.0
Vale de São Domingos,MT,551,11,3127.0
Vera,MT,1812,35,11309.0
Vila Bela da Santíssima Trindade,MT,3611,58,16128.0
Vila Rica,MT,3976,53,26037.0
Várzea Grande,MT,52397,1499,284971.0
Água Boa,MT,5198,102,25721.0
Abaetetuba,PA,10564,235,157698.0
Abel Figueiredo,PA,1308,12,7434.0
Acará,PA,2174,41,55591.0
Afuá,PA,3490,16,39218.0
Alenquer,PA,4739,158,56789.0
Almeirim,PA,4385,54,34109.0
Altamira,PA,20962,349,114594.0
Anajás,PA,1385,22,29277.0
Ananindeua,PA,29378,849,530598.0
Anapu,PA,2156,66,27890.0
Augusto Corrêa,PA,2526,53,45998.0
Aurora do Pará,PA,1926,17,31338.0
Aveiro,PA,1052,16,16388.0
Bagre,PA,1324,13,30673.0
Baião,PA,935,39,47446.0
Bannach,PA,656,3,3286.0
Barcarena,PA,12785,250,124680.0
Belterra,PA,2822,45,17732.0
Belém,PA,131343,5282,1492745.0
Benevides,PA,6246,112,62737.0
Bom Jesus do Tocantins,PA,1216,29,16981.0
Bonito,PA,514,16,16286.0
Bragança,PA,6905,179,127686.0
Brasil Novo,PA,4100,44,15086.0
Brejo Grande do Araguaia,PA,1128,6,7380.0
Breu Branco,PA,1374,72,66046.0
Breves,PA,4895,125,102701.0
Bujaru,PA,1886,43,29132.0
Cachoeira do Arari,PA,621,25,23767.0
Cachoeira do Piriá,PA,1573,11,33900.0
Cametá,PA,10530,306,137890.0
Canaã dos Carajás,PA,10852,138,37085.0
Capanema,PA,6297,130,69027.0
Capitão Poço,PA,3124,92,54303.0
Castanhal,PA,14144,499,200793.0
Chaves,PA,858,6,23717.0
Colares,PA,930,22,12085.0
Conceição do Araguaia,PA,6460,59,47864.0
Concórdia do Pará,PA,3166,35,33318.0
Cumaru do Norte,PA,1202,12,13473.0
Curionópolis,PA,2608,39,17929.0
Curralinho,PA,579,36,34448.0
Curuá,PA,2349,25,14393.0
Curuçá,PA,2588,84,40066.0
Dom Eliseu,PA,2709,67,59719.0
Eldorado do Carajás,PA,1113,35,33808.0
Faro,PA,1397,30,7194.0
Floresta do Araguaia,PA,1943,29,20304.0
Garrafão do Norte,PA,1744,11,26066.0
Goianésia do Pará,PA,2913,36,40475.0
Gurupá,PA,2632,14,33376.0
Igarapé-Açu,PA,3191,80,38807.0
Igarapé-Miri,PA,3863,99,62698.0
Importados/Indefinidos,PA,0,0,
Inhangapi,PA,611,17,11711.0
Ipixuna do Pará,PA,2877,47,64053.0
Irituia,PA,2224,22,32550.0
Itaituba,PA,14346,384,101247.0
Itupiranga,PA,2419,90,53269.0
Jacareacanga,PA,3319,40,8239.0
Jacundá,PA,2736,81,59155.0
Juruti,PA,5689,178,57943.0
Limoeiro do Ajuru,PA,1963,67,28935.0
Magalhães Barata,PA,490,17,8548.0
Marabá,PA,21053,539,279349.0
Maracanã,PA,769,49,29473.0
Marapanim,PA,1056,45,28336.0
Marituba,PA,4430,146,131521.0
Medicilândia,PA,4859,63,31597.0
Melgaço,PA,595,17,27654.0
Mocajuba,PA,3697,65,31136.0
Moju,PA,2666,70,82094.0
Mojuí dos Campos,PA,1946,34,16084.0
Monte Alegre,PA,8427,211,58032.0
Muaná,PA,1147,39,40349.0
Mãe do Rio,PA,2116,81,30077.0
Nova Esperança do Piriá,PA,1789,9,21368.0
Nova Ipixuna,PA,1592,27,16678.0
Nova Timboteua,PA,1161,19,15363.0
Novo Progresso,PA,3789,82,25762.0
Novo Repartimento,PA,2908,118,75919.0
Oeiras do Pará,PA,2321,51,32512.0
Oriximiná,PA,10572,193,73096.0
Ourilândia do Norte,PA,6804,65,32832.0
Ourém,PA,419,16,17842.0
Pacajá,PA,2728,56,47706.0
Palestina do Pará,PA,889,11,7589.0
Paragominas,PA,12733,247,113145.0
Parauapebas,PA,59471,524,208273.0
Pau D'Arco,PA,750,12,5483.0
Peixe-Boi,PA,352,4,8077.0
Piçarra,PA,1066,9,12981.0
Placas,PA,2566,44,30982.0
Ponta de Pedras,PA,3440,38,31082.0
Portel,PA,3530,96,62043.0
Porto de Moz,PA,1700,47,41135.0
Prainha,PA,2399,89,29866.0
Primavera,PA,1168,23,10825.0
Quatipuru,PA,1002,19,13608.0
Redenção,PA,20188,290,84787.0
Rio Maria,PA,3241,42,18193.0
Rondon do Pará,PA,2712,91,52357.0
Rurópolis,PA,5313,83,50510.0
Salinópolis,PA,1441,105,40675.0
Salvaterra,PA,1844,32,23752.0
Santa Bárbara do Pará,PA,1297,29,21079.0
Santa Cruz do Arari,PA,233,11,10128.0
Santa Izabel do Pará,PA,3341,102,70801.0
Santa Luzia do Pará,PA,1694,26,19848.0
Santa Maria das Barreiras,PA,983,13,21449.0
Santa Maria do Pará,PA,1802,29,24861.0
Santana do Araguaia,PA,3770,43,72817.0
Santarém,PA,28037,1091,304589.0
Santarém Novo,PA,758,8,6709.0
Santo Antônio do Tauá,PA,2582,59,31482.0
Sapucaia,PA,408,5,5930.0
Senador José Porfírio,PA,896,20,11658.0
Soure,PA,769,25,25374.0
São Caetano de Odivelas,PA,1327,35,18050.0
São Domingos do Araguaia,PA,3576,61,25557.0
São Domingos do Capim,PA,1546,35,31989.0
São Francisco do Pará,PA,1060,36,15882.0
São Félix do Xingu,PA,4343,41,128481.0
São Geraldo do Araguaia,PA,2277,57,24847.0
São João da Ponta,PA,90,10,6139.0
São João de Pirabas,PA,345,45,23045.0
São João do Araguaia,PA,88,12,13996.0
São Miguel do Guamá,PA,5434,68,58986.0
São Sebastião da Boa Vista,PA,998,26,26640.0
Tailândia,PA,8088,130,106339.0
Terra Alta,PA,858,23,11720.0
Terra Santa,PA,1881,60,18769.0
Tomé-Açu,PA,4527,95,63447.0
Tracuateua,PA,754,26,30959.0
Trairão,PA,1775,29,18989.0
Tucumã,PA,5457,85,39602.0
Tucuruí,PA,9940,285,113659.0
Ulianópolis,PA,2666,29,59210.0
Uruará,PA,3379,82,45476.0
Vigia,PA,3788,91,53686.0
Viseu,PA,1601,37,61403.0
Vitória do Xingu,PA,3036,29,15134.0
Xinguara,PA,5155,84,44751.0
Água Azul do Norte,PA,1563,18,27430.0
Óbidos,PA,8123,161,52137.0
Abreu e Lima,PE,3518,247,99990.0
Afogados da Ingazeira,PE,5251,74,37259.0
Afrânio,PE,970,15,19635.0
Agrestina,PE,1765,67,24885.0
Alagoinha,PE,1436,28,14636.0
Aliança,PE,704,66,38386.0
Altinho,PE,1378,30,22972.0
Amaraji,PE,690,48,22829.0
Angelim,PE,233,12,11150.0
Araripina,PE,7844,165,84418.0
Araçoiaba,PE,697,33,20524.0
Arcoverde,PE,7295,136,74338.0
Barra de Guabiraba,PE,451,16,14385.0
Barreiros,PE,812,67,42659.0
Belo Jardim,PE,4570,130,76439.0
Belém de Maria,PE,308,7,12073.0
Belém do São Francisco,PE,1027,13,20729.0
Betânia,PE,533,17,12719.0
Bezerros,PE,4128,128,60798.0
Bodocó,PE,2191,41,38146.0
Bom Conselho,PE,2342,72,48554.0
Bom Jardim,PE,1797,71,39184.0
Bonito,PE,1170,46,38134.0
Brejinho,PE,859,21,7487.0
Brejo da Madre de Deus,PE,2487,53,50742.0
Brejão,PE,495,9,8993.0
Buenos Aires,PE,399,25,13155.0
Buíque,PE,2602,48,58378.0
Cabo de Santo Agostinho,PE,10084,525,207048.0
Cabrobó,PE,2455,29,34221.0
Cachoeirinha,PE,648,34,20380.0
Caetés,PE,1824,23,28739.0
Calumbi,PE,789,5,5750.0
Calçado,PE,539,7,11053.0
Camaragibe,PE,7904,445,157828.0
Camocim de São Félix,PE,637,20,18765.0
Camutanga,PE,882,26,8551.0
Canhotinho,PE,648,32,24804.0
Capoeiras,PE,1357,27,20048.0
Carnaubeira da Penha,PE,241,6,12932.0
Carnaíba,PE,2593,38,19551.0
Carpina,PE,4472,150,83641.0
Caruaru,PE,35711,717,361118.0
Casinhas,PE,491,13,14341.0
Catende,PE,1382,67,42892.0
Cedro,PE,1956,18,11807.0
Chã Grande,PE,507,30,21698.0
Chã de Alegria,PE,483,22,13518.0
Condado,PE,1473,42,26421.0
Correntes,PE,380,12,18207.0
Cortês,PE,246,17,12578.0
Cumaru,PE,603,22,10906.0
Cupira,PE,2516,50,24107.0
Custódia,PE,980,65,37111.0
Dormentes,PE,1322,9,18908.0
Escada,PE,979,102,68875.0
Exu,PE,4552,58,31825.0
Feira Nova,PE,1587,55,22131.0
Fernando de Noronha,PE,323,2,3061.0
Ferreiros,PE,1050,20,12123.0
Flores,PE,1144,38,22624.0
Floresta,PE,2019,29,32873.0
Frei Miguelinho,PE,1355,25,15457.0
Gameleira,PE,583,39,31052.0
Garanhuns,PE,14604,306,139788.0
Glória do Goitá,PE,1202,49,30604.0
Goiana,PE,7702,161,79758.0
Granito,PE,444,7,7486.0
Gravatá,PE,5518,147,84074.0
Iati,PE,809,19,19197.0
Ibimirim,PE,1121,27,29235.0
Ibirajuba,PE,286,10,7762.0
Igarassu,PE,4267,238,117019.0
Iguaracy,PE,854,28,12228.0
Ilha de Itamaracá,PE,1308,34,26258.0
Importados/Indefinidos,PE,0,0,
Inajá,PE,477,13,23247.0
Ingazeira,PE,492,7,4548.0
Ipojuca,PE,3640,171,96204.0
Ipubi,PE,1280,64,30854.0
Itacuruba,PE,346,7,4918.0
Itambé,PE,1591,51,36447.0
Itapetim,PE,1507,34,13616.0
Itapissuma,PE,941,49,26651.0
Itaquitinga,PE,656,35,16955.0
Itaíba,PE,1004,13,26349.0
Jaboatão dos Guararapes,PE,36058,1724,702298.0
Jaqueira,PE,358,15,11656.0
Jataúba,PE,1364,21,17150.0
Jatobá,PE,958,18,14796.0
Joaquim Nabuco,PE,619,29,16023.0
João Alfredo,PE,987,51,33822.0
Jucati,PE,724,12,11424.0
Jupi,PE,1222,22,14836.0
Jurema,PE,601,25,15378.0
Lagoa Grande,PE,1835,35,25601.0
Lagoa de Itaenga,PE,1270,31,21429.0
Lagoa do Carro,PE,1255,28,18071.0
Lagoa do Ouro,PE,549,13,13145.0
Lagoa dos Gatos,PE,756,11,16290.0
Lajedo,PE,2595,73,40288.0
Limoeiro,PE,3296,118,56250.0
Macaparana,PE,1309,38,25376.0
Machados,PE,708,18,16088.0
Manari,PE,467,6,21434.0
Maraial,PE,341,13,11345.0
Mirandiba,PE,923,18,15390.0
Moreilândia,PE,765,11,11270.0
Moreno,PE,2019,115,62784.0
Nazaré da Mata,PE,1136,81,32471.0
Olinda,PE,25397,998,392482.0
Orobó,PE,1304,29,23884.0
Orocó,PE,735,15,14991.0
Ouricuri,PE,3236,97,69459.0
Palmares,PE,4230,123,63250.0
Palmeirina,PE,258,9,7693.0
Panelas,PE,1118,31,26474.0
Paranatama,PE,525,20,11523.0
Parnamirim,PE,1353,35,22010.0
Passira,PE,1492,55,28933.0
Paudalho,PE,2902,109,56506.0
Paulista,PE,11536,840,331774.0
Pedra,PE,1196,32,22617.0
Pesqueira,PE,4965,119,67395.0
Petrolina,PE,31654,505,349145.0
Petrolândia,PE,1886,46,36548.0
Pombos,PE,1890,44,27091.0
Poção,PE,619,16,11302.0
Primavera,PE,343,20,14966.0
Quipapá,PE,815,15,26037.0
Quixaba,PE,558,14,6813.0
Recife,PE,157567,5505,1645727.0
Riacho das Almas,PE,1284,33,20546.0
Ribeirão,PE,501,80,47415.0
Rio Formoso,PE,1067,43,23535.0
Sairé,PE,588,11,9932.0
Salgadinho,PE,253,6,10919.0
Salgueiro,PE,7953,119,60930.0
Saloá,PE,691,25,15843.0
Sanharó,PE,1523,25,26462.0
Santa Cruz,PE,994,12,15398.0
Santa Cruz da Baixa Verde,PE,633,19,12592.0
Santa Cruz do Capibaribe,PE,9169,162,107937.0
Santa Filomena,PE,557,16,14477.0
Santa Maria da Boa Vista,PE,1274,19,41931.0
Santa Maria do Cambucá,PE,715,18,14137.0
Santa Terezinha,PE,1043,27,11815.0
Serra Talhada,PE,11080,185,86350.0
Serrita,PE,1566,25,19165.0
Sertânia,PE,3145,52,35907.0
Sirinhaém,PE,976,50,45865.0
Solidão,PE,700,3,6007.0
Surubim,PE,4696,93,65089.0
São Benedito do Sul,PE,382,17,15895.0
São Bento do Una,PE,3002,83,59504.0
São Caitano,PE,2151,76,37245.0
São Joaquim do Monte,PE,924,37,21356.0
São José da Coroa Grande,PE,1660,42,21298.0
São José do Belmonte,PE,2544,58,33959.0
São José do Egito,PE,2735,58,33951.0
São João,PE,948,25,22793.0
São Lourenço da Mata,PE,4689,265,113230.0
São Vicente Férrer,PE,1363,33,18018.0
Tabira,PE,3034,50,28534.0
Tacaimbó,PE,534,11,12874.0
Tacaratu,PE,809,28,25765.0
Tamandaré,PE,761,37,23388.0
Taquaritinga do Norte,PE,805,25,28775.0
Terezinha,PE,572,8,7169.0
Terra Nova,PE,1067,15,10096.0
Timbaúba,PE,3742,116,53022.0
Toritama,PE,1624,46,45219.0
Tracunhaém,PE,293,24,13769.0
Trindade,PE,2061,59,30521.0
Triunfo,PE,1042,22,15254.0
Tupanatinga,PE,984,10,27304.0
Tuparetama,PE,660,27,8202.0
Venturosa,PE,1492,34,18482.0
Verdejante,PE,544,10,9534.0
Vertente do Lério,PE,768,8,7618.0
Vertentes,PE,1618,15,20731.0
Vicência,PE,794,34,32643.0
Vitória de Santo Antão,PE,7407,326,138757.0
Xexéu,PE,624,28,14725.0
Água Preta,PE,1627,61,36771.0
Águas Belas,PE,2047,47,43443.0
Aguiar,PB,528,5,5640.0
Alagoa Grande,PB,4117,72,28496.0
Alagoa Nova,PB,1511,25,20849.0
Alagoinha,PB,2072,25,14489.0
Alcantil,PB,677,7,5492.0
Algodão de Jandaíra,PB,251,1,2567.0
Alhandra,PB,2426,36,19588.0
Amparo,PB,178,4,2238.0
Aparecida,PB,988,14,8347.0
Arara,PB,1042,29,13470.0
Araruna,PB,704,17,20312.0
Araçagi,PB,1675,24,16987.0
Areia,PB,1948,31,22819.0
Areia de Baraúnas,PB,215,4,2128.0
Areial,PB,374,12,6998.0
Aroeiras,PB,1916,16,19153.0
Assunção,PB,415,5,3990.0
Bananeiras,PB,1534,27,21318.0
Baraúna,PB,696,9,4892.0
Barra de Santa Rosa,PB,1712,12,15384.0
Barra de Santana,PB,649,7,8359.0
Barra de São Miguel,PB,640,7,6036.0
Bayeux,PB,8141,249,96880.0
Baía da Traição,PB,1312,12,8993.0
Belém,PB,2407,45,17676.0
Belém do Brejo do Cruz,PB,533,5,7342.0
Bernardino Batista,PB,307,1,3501.0
Boa Ventura,PB,766,12,5366.0
Boa Vista,PB,849,15,7051.0
Bom Jesus,PB,192,3,2561.0
Bom Sucesso,PB,502,4,4975.0
Bonito de Santa Fé,PB,557,14,11917.0
Boqueirão,PB,2302,41,17804.0
Borborema,PB,387,13,5263.0
Brejo do Cruz,PB,1948,23,14122.0
Brejo dos Santos,PB,774,8,6449.0
Caaporã,PB,2137,34,21828.0
Cabaceiras,PB,445,4,5611.0
Cabedelo,PB,9603,202,67736.0
Cachoeira dos Índios,PB,917,16,10244.0
Cacimba de Areia,PB,60,4,3682.0
Cacimba de Dentro,PB,1237,34,17187.0
Cacimbas,PB,257,8,7173.0
Caiçara,PB,825,14,7201.0
Cajazeiras,PB,9828,154,61993.0
Cajazeirinhas,PB,212,1,3193.0
Caldas Brandão,PB,600,10,6014.0
Camalaú,PB,455,7,6013.0
Campina Grande,PB,42778,1084,409731.0
Capim,PB,236,10,6523.0
Caraúbas,PB,274,6,4162.0
Carrapateira,PB,437,6,2659.0
Casserengue,PB,1050,22,7468.0
Catingueira,PB,328,11,4932.0
Catolé do Rocha,PB,4709,60,30546.0
Caturité,PB,442,7,4852.0
Conceição,PB,878,28,18982.0
Condado,PB,595,10,6654.0
Conde,PB,2856,44,24670.0
Congo,PB,270,13,4786.0
Coremas,PB,1757,39,15445.0
Coxixola,PB,109,4,1921.0
Cruz do Espírito Santo,PB,1157,28,17319.0
Cubati,PB,559,14,7797.0
Cuitegi,PB,952,25,6803.0
Cuité,PB,1806,22,20338.0
Cuité de Mamanguape,PB,328,16,6353.0
Curral Velho,PB,457,1,2516.0
Curral de Cima,PB,525,4,5227.0
Damião,PB,495,4,5330.0
Desterro,PB,692,12,8297.0
Diamante,PB,793,10,6552.0
Dona Inês,PB,655,18,10453.0
Duas Estradas,PB,539,16,3596.0
Emas,PB,282,5,3522.0
Esperança,PB,5409,86,33007.0
Fagundes,PB,790,18,11253.0
Frei Martinho,PB,340,6,2989.0
Gado Bravo,PB,777,9,8316.0
Guarabira,PB,10003,146,58833.0
Gurinhém,PB,948,17,14129.0
Gurjão,PB,212,7,3428.0
Ibiara,PB,736,5,5929.0
Igaracy,PB,454,7,6117.0
Imaculada,PB,367,11,11819.0
Importados/Indefinidos,PB,0,0,
Ingá,PB,3042,44,18103.0
Itabaiana,PB,3207,84,24477.0
Itaporanga,PB,3020,29,24692.0
Itapororoca,PB,2469,35,18664.0
Itatuba,PB,1023,21,10962.0
Jacaraú,PB,1135,31,14431.0
Jericó,PB,716,14,7739.0
Joca Claudino,PB,116,2,2636.0
João Pessoa,PB,103940,2890,809015.0
Juarez Távora,PB,992,12,7936.0
Juazeirinho,PB,936,15,18171.0
Junco do Seridó,PB,729,9,7150.0
Juripiranga,PB,1446,31,10756.0
Juru,PB,807,15,9867.0
Lagoa,PB,196,3,4666.0
Lagoa Seca,PB,2799,47,27503.0
Lagoa de Dentro,PB,1024,9,7719.0
Lastro,PB,483,4,2737.0
Livramento,PB,992,6,7256.0
Logradouro,PB,392,10,4332.0
Lucena,PB,1160,19,13080.0
Malta,PB,454,12,5759.0
Mamanguape,PB,4971,82,44882.0
Manaíra,PB,530,6,10955.0
Marcação,PB,876,10,8558.0
Mari,PB,2364,43,21837.0
Marizópolis,PB,380,13,6617.0
Massaranduba,PB,1278,27,13918.0
Mataraca,PB,511,15,8434.0
Matinhas,PB,260,7,4500.0
Mato Grosso,PB,180,1,2908.0
Maturéia,PB,527,12,6569.0
Mogeiro,PB,1142,17,13284.0
Montadas,PB,325,6,5669.0
Monte Horebe,PB,559,7,4816.0
Monteiro,PB,4756,69,33222.0
Mulungu,PB,987,20,9902.0
Mãe d'Água,PB,263,8,4009.0
Natuba,PB,366,7,10454.0
Nazarezinho,PB,526,18,7301.0
Nova Floresta,PB,998,16,10638.0
Nova Olinda,PB,439,9,5949.0
Nova Palmeira,PB,591,5,4906.0
Olho d'Água,PB,409,8,6526.0
Olivedos,PB,337,5,3932.0
Ouro Velho,PB,358,2,3039.0
Parari,PB,252,2,1771.0
Passagem,PB,147,2,2419.0
Patos,PB,13830,252,107605.0
Paulista,PB,1341,11,12347.0
Pedra Branca,PB,435,6,3801.0
Pedra Lavrada,PB,322,1,7843.0
Pedras de Fogo,PB,2621,56,28458.0
Pedro Régis,PB,359,7,6089.0
Piancó,PB,2226,32,16075.0
Picuí,PB,2111,41,18703.0
Pilar,PB,1320,30,11917.0
Pilões,PB,249,9,6635.0
Pilõezinhos,PB,711,13,4976.0
Pirpirituba,PB,815,17,10579.0
Pitimbu,PB,1683,22,19065.0
Pocinhos,PB,1384,21,18564.0
Pombal,PB,5857,84,32801.0
Poço Dantas,PB,245,4,3888.0
Poço de José de Moura,PB,295,3,4307.0
Prata,PB,338,5,4209.0
Princesa Isabel,PB,2113,53,23345.0
Puxinanã,PB,812,7,13680.0
Queimadas,PB,4029,85,43967.0
Quixaba,PB,109,2,1956.0
Remígio,PB,1371,25,19621.0
Riacho de Santo Antônio,PB,158,5,1948.0
Riacho dos Cavalos,PB,876,17,8526.0
Riachão,PB,207,5,3588.0
Riachão do Bacamarte,PB,485,0,4521.0
Riachão do Poço,PB,287,6,4509.0
Rio Tinto,PB,2659,56,24176.0
Salgadinho,PB,183,1,3885.0
Salgado de São Félix,PB,928,12,12140.0
Santa Cecília,PB,480,4,6558.0
Santa Cruz,PB,455,8,6583.0
Santa Helena,PB,611,13,5889.0
Santa Inês,PB,131,7,3595.0
Santa Luzia,PB,2291,27,15382.0
Santa Rita,PB,9434,331,136586.0
Santa Teresinha,PB,271,13,4573.0
Santana de Mangueira,PB,413,5,5162.0
Santana dos Garrotes,PB,463,10,7031.0
Santo André,PB,402,3,2521.0
Sapé,PB,3777,114,52625.0
Serra Branca,PB,1011,34,13699.0
Serra Grande,PB,222,6,2909.0
Serra Redonda,PB,694,11,7041.0
Serra da Raiz,PB,555,5,3148.0
Serraria,PB,641,11,6099.0
Sertãozinho,PB,682,7,5024.0
Sobrado,PB,555,9,7783.0
Soledade,PB,1244,15,14989.0
Solânea,PB,4227,50,26407.0
Sossêgo,PB,291,3,3555.0
Sousa,PB,7160,139,69444.0
Sumé,PB,2761,41,16966.0
São Bentinho,PB,476,6,4529.0
São Bento,PB,5842,68,34031.0
São Domingos,PB,329,2,3073.0
São Domingos do Cariri,PB,194,5,2615.0
São Francisco,PB,199,4,3392.0
São José da Lagoa Tapada,PB,1026,8,7630.0
