city,state,confirmed,deaths,estimated_population_2019
Monteirópolis,AL,292,14,7159.0
Murici,AL,1191,51,28236.0
Novo Lino,AL,368,13,12690.0
Olho d'Água Grande,AL,243,9,5123.0
Olho d'Água das Flores,AL,1903,42,21688.0
Olho d'Água do Casado,AL,200,6,9373.0
Olivença,AL,559,17,11624.0
Ouro Branco,AL,854,11,11496.0
Palestina,AL,537,4,5011.0
Palmeira dos Índios,AL,6518,169,73218.0
Pariconha,AL,966,10,10533.0
Paripueira,AL,517,28,13176.0
Passo de Camaragibe,AL,918,23,15245.0
Paulo Jacinto,AL,524,16,7564.0
Penedo,AL,4871,90,63683.0
Piaçabuçu,AL,1106,23,17827.0
Pilar,AL,4813,62,35111.0
Pindoba,AL,231,2,2908.0
Piranhas,AL,1672,27,25039.0
Porto Calvo,AL,1262,49,27165.0
Porto Real do Colégio,AL,652,21,20066.0
Porto de Pedras,AL,561,15,7786.0
Poço das Trincheiras,AL,672,12,14386.0
Pão de Açúcar,AL,1349,31,24399.0
Quebrangulo,AL,1348,15,11294.0
Rio Largo,AL,4513,185,75120.0
Roteiro,AL,450,14,6664.0
Santa Luzia do Norte,AL,748,9,7296.0
Santana do Ipanema,AL,5916,109,47654.0
Santana do Mundaú,AL,910,19,10740.0
Satuba,AL,1449,40,13828.0
Senador Rui Palmeira,AL,427,13,13870.0
São Brás,AL,486,4,6961.0
São José da Laje,AL,1350,32,23927.0
São José da Tapera,AL,1448,43,32260.0
São Luís do Quitunde,AL,1596,27,34555.0
São Miguel dos Campos,AL,5221,107,61251.0
São Miguel dos Milagres,AL,377,16,7951.0
São Sebastião,AL,2075,39,34152.0
Tanque d'Arca,AL,479,12,6162.0
Taquarana,AL,902,27,19980.0
Teotônio Vilela,AL,2853,72,44169.0
Traipu,AL,774,27,27715.0
União dos Palmares,AL,3801,100,65611.0
Viçosa,AL,2453,41,25733.0
Água Branca,AL,891,30,20196.0
Brasília,DF,597871,10363,3015268.0
Importados/Indefinidos,DF,73534,980,
Afonso Cláudio,ES,3682,63,30586.0
Alegre,ES,3350,69,30084.0
Alfredo Chaves,ES,2721,40,14601.0
Alto Rio Novo,ES,787,24,7836.0
Anchieta,ES,5369,92,29263.0
Apiacá,ES,985,38,7567.0
Aracruz,ES,17652,237,101220.0
Atilio Vivacqua,ES,1716,30,11936.0
Baixo Guandu,ES,3899,82,30998.0
Barra de São Francisco,ES,5370,223,44650.0
Boa Esperança,ES,1772,46,15037.0
Bom Jesus do Norte,ES,1273,30,9936.0
Brejetuba,ES,1785,16,12404.0
Cachoeiro de Itapemirim,ES,30134,620,208972.0
Cariacica,ES,44441,1401,381285.0
Castelo,ES,6786,128,37534.0
Colatina,ES,20292,351,122499.0
Conceição da Barra,ES,2020,66,31063.0
Conceição do Castelo,ES,1687,30,12723.0
Divino de São Lourenço,ES,484,10,4304.0
Domingos Martins,ES,4536,75,33850.0
Dores do Rio Preto,ES,822,14,6749.0
Ecoporanga,ES,3932,73,22923.0
Fundão,ES,2828,68,21509.0
Governador Lindenberg,ES,2272,32,12709.0
Guarapari,ES,17941,435,124859.0
Guaçuí,ES,3606,111,30867.0
Ibatiba,ES,4648,96,26082.0
Ibiraçu,ES,1933,44,12479.0
Ibitirama,ES,557,16,8889.0
Iconha,ES,2918,21,13860.0
Importados/Indefinidos,ES,4807,240,
Irupi,ES,1797,48,13377.0
Itaguaçu,ES,1778,20,14066.0
Itapemirim,ES,4780,148,34348.0
Itarana,ES,1724,28,10555.0
Iúna,ES,3470,85,29161.0
Jaguaré,ES,4166,53,30477.0
Jerônimo Monteiro,ES,1597,39,12192.0
João Neiva,ES,2890,54,16668.0
Laranja da Terra,ES,1199,14,10947.0
Linhares,ES,28593,431,173555.0
Mantenópolis,ES,1004,46,15350.0
Marataízes,ES,7536,214,38499.0
Marechal Floriano,ES,3649,53,16694.0
Marilândia,ES,2163,29,12833.0
Mimoso do Sul,ES,3488,62,26153.0
Montanha,ES,1819,62,18833.0
Mucurici,ES,652,9,5524.0
Muniz Freire,ES,3166,46,17465.0
Muqui,ES,2384,55,15449.0
Nova Venécia,ES,6673,130,50110.0
Pancas,ES,2574,35,23184.0
Pedro Canário,ES,2356,62,26184.0
Pinheiros,ES,3596,87,27047.0
Piúma,ES,2966,86,21711.0
Ponto Belo,ES,703,16,7863.0
Presidente Kennedy,ES,2351,53,11574.0
Rio Bananal,ES,3148,36,19141.0
Rio Novo do Sul,ES,1808,33,11622.0
Santa Leopoldina,ES,1220,28,12224.0
Santa Maria de Jetibá,ES,6331,57,40431.0
Santa Teresa,ES,4800,64,23590.0
Serra,ES,73963,1505,517510.0
Sooretama,ES,3720,62,30070.0
São Domingos do Norte,ES,1576,23,8638.0
São Gabriel da Palha,ES,7086,86,37947.0
São José do Calçado,ES,1312,71,10556.0
São Mateus,ES,13835,290,130611.0
São Roque do Canaã,ES,1882,20,12415.0
Vargem Alta,ES,2672,45,21402.0
Venda Nova do Imigrante,ES,4741,53,25277.0
Viana,ES,9039,268,78239.0
Vila Pavão,ES,1082,17,9208.0
Vila Valério,ES,3318,34,14080.0
Vila Velha,ES,73564,1725,493838.0
Vitória,ES,64301,1268,362097.0
Água Doce do Norte,ES,1001,43,11019.0
Águia Branca,ES,1952,61,9642.0
Abaiara,CE,628,16,11737.0
Acarape,CE,2837,32,14929.0
Acaraú,CE,5130,112,62641.0
Acopiara,CE,4076,151,54270.0
Aiuaba,CE,837,11,17399.0
Alcântaras,CE,1796,22,11714.0
Altaneira,CE,683,15,7586.0
Alto Santo,CE,1945,35,17146.0
Amontada,CE,2944,57,43452.0
Antonina do Norte,CE,810,26,7353.0
Apuiarés,CE,1380,25,14600.0
Aquiraz,CE,6858,94,80271.0
Aracati,CE,8039,165,74547.0
Aracoiaba,CE,4301,35,26469.0
Ararendá,CE,1416,22,10935.0
Araripe,CE,1367,23,21600.0
Aratuba,CE,1653,12,11847.0
Arneiroz,CE,674,17,7840.0
Assaré,CE,2342,44,23417.0
Aurora,CE,1818,38,24654.0
Baixio,CE,715,13,6288.0
Banabuiú,CE,2330,22,18197.0
Barbalha,CE,7017,163,60781.0
Barreira,CE,1600,50,22425.0
Barro,CE,1842,45,22680.0
Barroquinha,CE,1316,25,15017.0
Baturité,CE,4213,87,35750.0
Beberibe,CE,5681,129,53573.0
Bela Cruz,CE,3504,73,32591.0
Boa Viagem,CE,4312,117,54470.0
Brejo Santo,CE,8435,155,49477.0
Camocim,CE,6285,163,63661.0
Campos Sales,CE,2527,40,27426.0
Canindé,CE,5599,210,76997.0
Capistrano,CE,2454,36,17738.0
Caridade,CE,1698,52,22547.0
Caririaçu,CE,1561,46,26965.0
Cariré,CE,2512,48,18448.0
Cariús,CE,2333,32,18699.0
Carnaubal,CE,2208,28,17606.0
Cascavel,CE,6332,157,71743.0
Catarina,CE,848,18,20698.0
Catunda,CE,1450,17,10342.0
Caucaia,CE,22504,965,361400.0
Cedro,CE,3873,41,25557.0
Chaval,CE,1634,27,13069.0
Chorozinho,CE,1973,39,20264.0
Choró,CE,1119,18,13521.0
Coreaú,CE,2590,70,23136.0
Crateús,CE,12729,232,75074.0
Crato,CE,17737,227,132123.0
Croatá,CE,1410,17,18063.0
Cruz,CE,3749,58,24827.0
Deputado Irapuan Pinheiro,CE,934,12,9625.0
Ereré,CE,873,15,7198.0
Eusébio,CE,9717,129,53618.0
Farias Brito,CE,2643,58,19450.0
Forquilha,CE,1773,78,24218.0
Fortaleza,CE,256441,9654,2669342.0
Fortim,CE,2246,28,16480.0
Frecheirinha,CE,3098,26,14072.0
General Sampaio,CE,540,19,7618.0
Granja,CE,3287,88,54748.0
Granjeiro,CE,488,4,4844.0
Graça,CE,1400,19,14399.0
Groaíras,CE,1814,31,11068.0
Guaiúba,CE,1640,61,26064.0
Guaraciaba do Norte,CE,2590,63,40642.0
Guaramiranga,CE,873,5,5193.0
Hidrolândia,CE,2727,26,19978.0
Horizonte,CE,7775,134,67337.0
Ibaretama,CE,1224,25,13353.0
Ibiapina,CE,1776,33,24997.0
Ibicuitinga,CE,1879,22,12525.0
Icapuí,CE,2840,33,19934.0
Icó,CE,7399,124,68018.0
Iguatu,CE,11918,233,102498.0
Importados/Indefinidos,CE,10783,0,
Independência,CE,2196,56,26178.0
Ipaporanga,CE,1410,17,11593.0
